membership,neworder,clcode,B,CI
840685.0,1.0,4.0,-3642.1668114580307,23567.397223120337
2737005.0,2.0,1.0,-1101.1331867955269,22594.515707472594
5314926.0,3.0,3.0,480.4825404273315,22482.9175379399
7743511.0,4.0,2.0,1665.2424954830349,22077.51254836365
5984033.0,5.0,0.0,2738.1529630788227,23866.436189803575
