membership,neworder,clcode,B,Binc,DopF,SLFF,CI
2823.0,1.0,21.0,1438.1620527612818,89.73418573532787,-0.2979036459343618,0.9582418393379,898.7280173168763
1442444.0,2.0,3.0,0.005132302904220509,90.00002862596048,1.4507770580547472,1.1759268997435512e-06,17517.024967973342
1921775.0,3.0,29.0,0.008034586581606717,90.00000755315898,0.03091010197666577,1.6056920137952346e-06,17581.871844932277
210424.0,4.0,11.0,278.56077607727815,92.20550617087174,2.659987708020875,0.3087288837709268,17776.646086193352
852919.0,5.0,22.0,0.05230504261133362,89.99982680476269,2.9727472355102336,1.819528901231271e-05,18274.342529684807
175925.0,6.0,4.0,292.75548828577314,74.53190417370774,2.095269465113619,0.2708711220521827,18348.638374011152
15979.0,7.0,34.0,1581.2486007399932,90.49219529903638,0.6576673580135193,0.14685333285630764,18352.573196173395
1476079.0,8.0,0.0,0.00840111229560847,89.99995057576075,-1.1025819116775466,8.521241806613844e-07,18631.908216092943
152458.0,9.0,24.0,248.28530101372004,88.3804437116891,0.6487363624244171,0.4301827279814033,18847.029204313367
203044.0,10.0,1.0,287.881098336621,109.63775264070456,1.262730262984638,0.2777199759957518,19000.888611711656
270105.0,11.0,30.0,266.3644860490786,95.4484486647581,-0.8988062539805739,0.282466452487386,19252.205754047096
93938.0,12.0,23.0,707.0595054994023,91.74795087697686,0.5098308596749224,0.1603747748797958,19398.36269128963
227869.0,13.0,28.0,266.9455881845262,79.80918188581329,-0.6804529017282359,0.27124984660899953,19686.575743413305
142655.0,14.0,27.0,327.2774830213221,56.12926156266801,1.0741705720762411,0.33012990172934226,19928.187451589605
114186.0,15.0,6.0,390.81690679850834,129.40195988515103,1.1043523984079524,0.31138124630364544,20357.11833766738
282749.0,16.0,5.0,279.34774607407775,90.96697832898299,1.1963024161306617,0.1764394736277658,20467.11179800288
65628.0,17.0,17.0,332.18895124163663,115.50968809528128,0.684695403915967,0.49633960516314163,20671.663272404978
51429.0,18.0,16.0,384.08992853348644,62.5470470683301,0.6283173961964135,0.5340311104179967,21160.234573596383
2009922.0,19.0,9.0,0.02293522888163757,90.00008241358752,0.7079967831813736,3.7446765882576116e-06,21371.664724645056
81208.0,20.0,19.0,695.5965730692216,50.45193193568332,0.9423234031896381,0.21975000527010297,21432.563621730784
896523.0,21.0,18.0,0.04817541987811591,90.00007849686725,1.9078549686808195,1.151843497637639e-05,22709.42761803579
53468.0,22.0,10.0,1014.088995796651,136.63771257874131,0.7172899370054591,0.2824148062731858,22777.253928620576
2781388.0,23.0,20.0,0.011066127106107437,90.00004679403968,-0.18390954536205584,1.3281493391748e-06,22780.715237038068
227237.0,24.0,13.0,297.8701212545354,106.15814608874196,-0.2698524898632986,0.13825932721558098,22939.798840510317
131312.0,25.0,31.0,396.5784406579187,127.69884305005397,0.26745243828671406,0.1520087932546892,22957.809778837658
214485.0,26.0,26.0,307.06337597047684,74.94365490950835,-0.11108655910900644,0.12938372188340252,23023.534241339963
136352.0,27.0,8.0,323.6004224346176,53.94810814321701,0.16623420287295687,0.16455628132638989,23126.947143256522
32819.0,28.0,14.0,1181.0073347424425,40.473571572003536,0.5291527248770684,0.3307044653303601,23852.762722324664
900727.0,29.0,25.0,0.06720152499162246,90.0002435884022,-2.359521602518999,6.035702520279518e-06,23892.12327022306
263719.0,30.0,12.0,277.03549677147174,90.0806445983486,-1.2186222470621662,0.14839222162172916,23941.323827851753
1823798.0,31.0,32.0,0.020449792002330547,90.00015582413204,-1.0703140155939224,6.355512663924756e-07,24432.263425613703
1260515.0,32.0,7.0,0.11653436221115143,90.00018497274701,0.7375463313165813,2.572458617045026e-05,26917.636605378935
1881153.0,33.0,2.0,0.04885799391340928,90.00001773637334,-0.27690408917274034,7.963615708539429e-06,27930.672046147945
1523354.0,34.0,33.0,0.08735661845460374,90.0002715550236,-1.2275397502789431,1.4914480829131271e-05,29823.830883308718
699751.0,35.0,15.0,0.7180494868583853,90.00013268109181,-2.2369267319235338,0.0001634188714405016,32635.041746521227
